Jurisdiction,Office,Race Name,Number of Seats,Candidate Name,Votes Received,Percent Received,Total Votes,Elected,Election Date
Columbia County Circuit Court,Circuit Court Judge,"Circuit Court Judge, Branch 3 Columbia County",1,Troy D. Cross,5059,50.27,10033,1,04/03/18
Columbia County Circuit Court,Circuit Court Judge,"Circuit Court Judge, Branch 3 Columbia County",1,Brenda L. Yaskal,4974,49.42,10033,0,04/03/18
Columbia County,County Supervisor District 1,County Supervisor District 1,1,Robert McClyman,344,99.14,344,1,04/03/18
Columbia County,County Supervisor District 2,County Supervisor District 2,1,Mike Weyh,375,99.21,375,1,04/03/18
Columbia County,County Supervisor District 3,County Supervisor District 3,1,Tom Borgkvist,200,51.95,383,1,04/03/18
Columbia County,County Supervisor District 3,County Supervisor District 3,1,Mary Cupery,183,47.53,383,0,04/03/18
Columbia County,County Supervisor District 4,County Supervisor District 4,1,Vern E. Gove,294,99.66,294,1,04/03/18
Columbia County,County Supervisor District 5,County Supervisor District 5,1,Adam Field,121,98.37,123,1,04/03/18
Columbia County,County Supervisor District 6,County Supervisor District 6,1,Kirk Konkel,218,99.54,218,1,04/03/18
Columbia County,County Supervisor District 8,County Supervisor District 8,1,Matthew L. Rohrbeck,141,98.6,143,1,04/03/18
Columbia County,County Supervisor District 9,County Supervisor District 9,1,Don De Young,307,99.03,307,1,04/03/18
Columbia County,County Supervisor District 10,County Supervisor District 10,1,JoAnn Wingers,337,98.54,342,1,04/03/18
Columbia County,County Supervisor District 11,County Supervisor District 11,1,Bruce J. Rashke,287,98.63,291,1,04/03/18
Columbia County,County Supervisor District 12,County Supervisor District 12,1,Barry Pufahl,287,95.67,300,1,04/03/18
Columbia County,County Supervisor District 13,County Supervisor District 13,1,Dan F. Drew,354,99.72,354,1,04/03/18
Columbia County,County Supervisor District 14,County Supervisor District 14,1,Susanna Bradley,346,99.43,346,1,04/03/18
Columbia County,County Supervisor District 15,County Supervisor District 15,1,Mark Sleger,266,99.25,266,1,04/03/18
Columbia County,County Supervisor District 16,County Supervisor District 16,1,Gary Leatherberry,184,50.41,363,1,04/03/18
Columbia County,County Supervisor District 16,County Supervisor District 16,1,Bob Christofferson,179,49.04,363,0,04/03/18
Columbia County,County Supervisor District 17,County Supervisor District 17,1,Andy Ross,219,99.1,219,1,04/03/18
Columbia County,County Supervisor District 18,County Supervisor District 18,1,Harlan Baumgartner,311,97.49,319,1,04/03/18
Columbia County,County Supervisor District 19,County Supervisor District 19,1,Keith F. Miller,339,55.39,610,1,04/03/18
Columbia County,County Supervisor District 19,County Supervisor District 19,1,Steven Rubert,271,44.28,610,0,04/03/18
Columbia County,County Supervisor District 20,County Supervisor District 20,1,Tim Zander,219,50.93,430,1,04/03/18
Columbia County,County Supervisor District 20,County Supervisor District 20,1,Darren Schroeder,204,47.44,430,0,04/03/18
Columbia County,County Supervisor District 21,County Supervisor District 21,1,Henry A. St. Maurice,321,97.57,329,1,04/03/18
Columbia County,County Supervisor District 23,County Supervisor District 23,1,James Foley,322,97.58,330,1,04/03/18
Columbia County,County Supervisor District 24,County Supervisor District 24,1,John Stevenson,299,99.34,299,1,04/03/18
Columbia County,County Supervisor District 25,County Supervisor District 25,1,Jon Plumer,333,97.65,341,1,04/03/18
Columbia County,County Supervisor District 27,County Supervisor District 27,1,Nancy M. Long,315,100.0,315,1,04/03/18
Columbia County,County Supervisor District 28,County Supervisor District 28,1,Kevin Kessler,307,99.03,307,1,04/03/18
City of Lodi,Mayor,Mayor City of Lodi,1,James W. Ness,445,94.28,472,1,04/03/18
City of Wisconsin Dells,Mayor,Mayor City of Wisconsin Dells,1,Ed Wojnicz,358,65.45,547,1,04/03/18
City of Wisconsin Dells,Mayor,Mayor City of Wisconsin Dells,1,Louis Kutzke,189,34.55,547,0,04/03/18
City of Columbus,Alderperson District 2,Alderperson District 2,1,Jason Theilen,175,51.32,340,1,04/03/18
City of Columbus,Alderperson District 2,Alderperson District 2,1,Chris Roelke,165,48.39,340,0,04/03/18
City of Columbus,Alderperson District 3,Alderperson District 3,1,Andrew Traxler,170,60.07,283,1,04/03/18
City of Columbus,Alderperson District 3,Alderperson District 3,1,Paula M. Steiner,110,38.87,283,0,04/03/18
City of Lodi,Alderperson,Alderperson City of Lodi,3,Peter Tonn,385,35.06,1098,1,04/03/18
City of Lodi,Alderperson,Alderperson City of Lodi,3,Rich Stevenson,346,31.51,1098,1,04/03/18
City of Lodi,Alderperson,Alderperson City of Lodi,3,Paege Heckel,343,31.24,1098,1,04/03/18
City of Portage,Alderperson District 3,Alderperson District 3,1,Dennis Nachreiner,149,94.9,157,1,04/03/18
City of Portage,Alderperson District 4,Alderperson District 4,1,Doug Klapper,99,98.02,101,1,04/03/18
City of Portage,Alderperson District 8,Alderperson District 8,1,Martin Havlovic,123,99.19,123,1,04/03/18
City of Wisconsin Dells,Alderperson District 1,Alderperson District 1,1,Brian Holzem,133,99.25,133,1,04/03/18
City of Wisconsin Dells,Alderperson District 2,Alderperson District 2,1,Terry Marshall,121,99.18,121,1,04/03/18
City of Wisconsin Dells,Alderperson District 3,Alderperson District 3,1,Ed Fox,179,100.0,179,1,04/03/18
Village of Friesland,Village President,Village President Village of Friesland,1,Steven Williams,64,94.12,68,1,04/03/18
Village of Friesland,Village Trustee,Village Trustee Village of Friesland,1,Gary Steinich,70,100.0,70,1,04/03/18
Village of Arlington,Village Trustee,Village Trustee Village of Arlington,2,Jason Humboldt,82,35.19,233,1,04/03/18
Village of Arlington,Village Trustee,Village Trustee Village of Arlington,2,James Laatsch,77,33.05,233,1,04/03/18
Village of Arlington,Village Trustee,Village Trustee Village of Arlington,2,Tegan J. Krueger,70,30.04,233,0,04/03/18
Village of Cambria,Village Trustee,Village Trustee Village of Cambria,3,Cody W. Doucette,126,29.3,427,1,04/03/18
Village of Cambria,Village Trustee,Village Trustee Village of Cambria,3,Wade Smith,110,25.58,427,1,04/03/18
Village of Cambria,Village Trustee,Village Trustee Village of Cambria,3,Shannon Dunahee,98,22.79,427,1,04/03/18
Village of Cambria,Village Trustee,Village Trustee Village of Cambria,3,Lee Vaughan,93,21.63,427,0,04/03/18
Village of Doylestown,Village Trustee,Village Trustee Village of Doylestown,3,Linda Wall,51,34.23,148,1,04/03/18
Village of Doylestown,Village Trustee,Village Trustee Village of Doylestown,3,Tom Boomsma,49,32.89,148,1,04/03/18
Village of Doylestown,Village Trustee,Village Trustee Village of Doylestown,3,James Wall,48,32.21,148,1,04/03/18
Village of Fall River,Village Trustee,Village Trustee Village of Fall River,3,Judith A. Robbins,401,48.37,829,1,04/03/18
Village of Fall River,Village Trustee,Village Trustee Village of Fall River,3,John Ninmann,339,40.89,829,1,04/03/18
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Michael Haynes,285,37.25,765,1,04/03/18
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Angela Ziehmke,227,29.67,765,1,04/03/18
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Phil Blader,131,17.12,765,1,04/03/18
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Tony Amelio,112,14.64,765,0,04/03/18
Village of Poynette,Village Trustee,Village Trustee Village of Poynette,3,Terri Fiore,279,51.38,543,1,04/03/18
Village of Poynette,Village Trustee,Village Trustee Village of Poynette,3,Bill Boor,210,38.67,543,1,04/03/18
Village of Randolph,Village Trustee,Village Trustee Village of Randolph,3,Nicholas Weinberger,64,34.59,185,1,04/03/18
Village of Randolph,Village Trustee,Village Trustee Village of Randolph,3,Glenn Sharp,61,32.97,185,1,04/03/18
Village of Randolph,Village Trustee,Village Trustee Village of Randolph,3,Carroll H. Swain,58,31.35,185,1,04/03/18
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Stan Stofflet,143,34.79,411,1,04/03/18
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Nancy M. Wescott,138,33.58,411,1,04/03/18
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Delbert G. Curtis,123,29.93,411,1,04/03/18
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Kim Bauer,94,31.97,294,1,04/03/18
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Doug Rose,72,24.49,294,1,04/03/18
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Kathy Morrison,70,23.81,294,1,04/03/18
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Heidi Anderson,58,19.73,294,0,04/03/18
Town of Fountain Prairie,Town Board Supervisor 1,Town Board Supervisor 1 Town of Fountain Prairi,1,Steven Jacob,254,97.69,260,1,04/03/18
Town of Pacific,Town Board Supervisor 1,Town Board Supervisor 1 Town of Pacific,1,Ethel A. Smith,456,99.56,456,1,04/03/18
Town of Dekorra,Town Board Supervisor 3,Town Board Supervisor 3 Town of Dekorra,1,Sandy Smith,342,69.37,492,1,04/03/18
Town of Dekorra,Town Board Supervisor 3,Town Board Supervisor 3 Town of Dekorra,1,Andy Lupo,150,30.43,492,0,04/03/18
Town of Fountain Prairie,Town Board Supervisor 3,Town Board Supervisor 3 Town of Fountain Prairi,1,David Liebenthal,274,98.56,278,1,04/03/18
Town of Lodi,Town Board Supervisor 3,Town Board Supervisor 3 Town of Lodi,1,Brian Henry,437,98.65,443,1,04/03/18
Town of Pacific,Town Board Supervisor 3,Town Board Supervisor 3 Town of Pacific,1,Irma J. Brockley,426,98.84,431,1,04/03/18
Town of West Point,Town Board Supervisor 3,Town Board Supervisor 3 Town of West Point,1,Karmin Enge,316,99.37,316,1,04/03/18
Town of Dekorra,Town Board Supervisor 4,Town Board Supervisor 4 Town of Dekorra,1,Gary Leatherberry,362,96.53,375,1,04/03/18
Town of Lodi,Town Board Supervisor 4,Town Board Supervisor 4 Town of Lodi,1,Jon Plumer,454,98.27,462,1,04/03/18
Town of West Point,Town Board Supervisor 4,Town Board Supervisor 4 Town of West Point,1,Matthew Zeman,320,99.07,320,1,04/03/18
Rio Community School District,School Board Member,School Board Member Rio Community School District,1,Robert Hagenow,460,97.46,472,1,04/03/18
Baraboo School District,School Board Member,School Board Member School District of Baraboo,2,Sean McNevin,3,60.0,5,1,04/03/18
Baraboo School District,School Board Member,School Board Member School District of Baraboo,2,Nancy Thome,2,40.0,5,1,04/03/18
Fall River School District,School Board Member,School Board Member Fall River School District,2,Keith F. Miller,607,50.75,1196,1,04/03/18
Fall River School District,School Board Member,School Board Member Fall River School District,2,Paul Osterhaus,558,46.66,1196,1,04/03/18
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,2,Phil Kamrath,640,29.13,2197,1,04/03/18
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,2,Daniel Pulver,567,25.81,2197,1,04/03/18
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,2,Bret Achterberg,526,23.94,2197,0,04/03/18
Pardeeville Area School District,School Board Member,School Board Member Pardeeville Area School District,2,Angie Engelmann,434,19.75,2197,0,04/03/18
Randolph School District,School Board Member,School Board Member Randolph School District,2,Gary DeVries,151,51.19,293,1,04/03/18
Randolph School District,School Board Member,School Board Member Randolph School District,2,Laurie Boomsma,142,48.14,293,1,04/03/18
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,2,Marilyn Ruffin,3,60.0,5,1,04/03/18
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,2,Bryn Horton,2,40.0,5,1,04/03/18
Columbus School District,School Board Member,School Board Member Columbus School District,3,Barbara A. Hesselberg,832,28.97,2849,1,04/03/18
Columbus School District,School Board Member,School Board Member Columbus School District,3,Julie Hajewski,818,28.48,2849,1,04/03/18
Columbus School District,School Board Member,School Board Member Columbus School District,3,William Braun,704,24.51,2849,1,04/03/18
Columbus School District,School Board Member,School Board Member Columbus School District,3,John A. Sanderson,495,17.24,2849,0,04/03/18
Lodi School District,School Board Member,School Board Member School District of Lodi,3,Angie Lathrop Treinen,1164,38.31,3008,1,04/03/18
Lodi School District,School Board Member,School Board Member School District of Lodi,3,Michelle Shelly Pare,961,31.63,3008,1,04/03/18
Lodi School District,School Board Member,School Board Member School District of Lodi,3,Steven Ricks,883,29.07,3008,1,04/03/18
Poynette School District,School Board Member,School Board Member School District of Poynette,3,Kathleen Lucey,854,35.14,2406,1,04/03/18
Poynette School District,School Board Member,School Board Member School District of Poynette,3,Jeffrey Noble,810,33.33,2406,1,04/03/18
Poynette School District,School Board Member,School Board Member School District of Poynette,3,Kevin Thays,742,30.53,2406,1,04/03/18
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,1,Jeff Miller,83,98.81,84,1,04/03/18
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,1,Spencer Statz,89,97.8,91,1,04/03/18
Cambria-Friesland School District,School Board Member,School Board Member Cambria-friesland School District,1,Daniel DeYoung,428,99.3,428,1,04/03/18
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,1,Sue Esser,83,97.65,85,1,04/03/18
Cambria-Friesland School District,School Board Member,School Board Member Cambria-friesland School District,1,Mark Hoffmann,413,99.52,413,1,04/03/18
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,William S. Kuehn,9,100.0,9,1,04/03/18
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Darrell Fenske,9,100.0,9,1,04/03/18
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Brad Krueger,9,100.0,9,1,04/03/18
Portage Community School District,School Board Member,School Board Member Portage Community School District,1,Connie Shlimovitz,1868,99.1,1868,1,04/03/18
Portage Community School District,School Board Member,School Board Member Portage Community School District,1,Daniel G. Garrigan,1899,99.01,1899,1,04/03/18
Sauk Prairie School District,School Board Member,School Board Member Sauk Prairie School District,1,Steven Sprecher,204,98.55,207,1,04/03/18
Sauk Prairie School District,School Board Member,School Board Member Sauk Prairie School District,1,James Isaacson,220,98.21,224,1,04/03/18
Sauk Prairie School District,School Board Member,School Board Member Sauk Prairie School District,1,Dennis Virta,196,98.49,199,1,04/03/18
Wisconsin Dells School District,School Board Member,School Board Member School District of Wisconsin Dells,1,Robert McClyman,534,97.8,546,1,04/03/18
Wisconsin Dells School District,School Board Member,School Board Member School District of Wisconsin Dells,1,Jennifer Gavinski,471,71.26,661,1,04/03/18
Wisconsin Dells School District,School Board Member,School Board Member School District of Wisconsin Dells,1,Jim Rodwell,190,28.74,661,0,04/03/18
Columbia County,County Supervisor District 1,County Supervisor District 1,1,Robert McClyman,193,96.02,201,1,04/03/12
Columbia County,County Supervisor District 2,County Supervisor District 2,1,Mike Weyh,250,61.73,405,1,04/03/12
Columbia County,County Supervisor District 2,County Supervisor District 2,1,Kathleen Palmer,155,38.27,405,0,04/03/12
Columbia County,County Supervisor District 3,County Supervisor District 3,1,Mary Cupery,309,97.78,316,1,04/03/12
Columbia County,County Supervisor District 4,County Supervisor District 4,1,Vern E. Gove,186,52.99,349,1,04/03/12
Columbia County,County Supervisor District 4,County Supervisor District 4,1,Audrey B. Brown,163,46.44,349,0,04/03/12
Columbia County,County Supervisor District 5,County Supervisor District 5,1,Adam Field,105,97.22,108,1,04/03/12
Columbia County,County Supervisor District 6,County Supervisor District 6,1,Kirk Konkel,192,99.48,192,1,04/03/12
Columbia County,County Supervisor District 7,County Supervisor District 7,1,Kenneth Hutler,199,97.07,205,1,04/03/12
Columbia County,County Supervisor District 8,County Supervisor District 8,1,Richard Boockmeier,101,97.12,104,1,04/03/12
Columbia County,County Supervisor District 9,County Supervisor District 9,1,Don De Young,278,100.0,278,1,04/03/12
Columbia County,County Supervisor District 10,County Supervisor District 10,1,JoAnn Wingers,269,96.42,279,1,04/03/12
Columbia County,County Supervisor District 11,County Supervisor District 11,1,Bruce J. Rashke,186,49.73,371,1,04/03/12
Columbia County,County Supervisor District 11,County Supervisor District 11,1,Paula J. Cooper,185,49.47,371,0,04/03/12
Columbia County,County Supervisor District 12,County Supervisor District 12,1,Barry Pufahl,366,96.83,378,1,04/03/12
Columbia County,County Supervisor District 13,County Supervisor District 13,1,Susan G. Martin,234,53.42,438,1,04/03/12
Columbia County,County Supervisor District 13,County Supervisor District 13,1,Robert J. Lane,204,46.58,438,0,04/03/12
Columbia County,County Supervisor District 14,County Supervisor District 14,1,Susanna Bradley,201,52.07,385,1,04/03/12
Columbia County,County Supervisor District 14,County Supervisor District 14,1,Jamie Ramsay,184,47.67,385,0,04/03/12
Columbia County,County Supervisor District 15,County Supervisor District 15,1,Mark Sleger,280,98.94,283,1,04/03/12
Columbia County,County Supervisor District 16,County Supervisor District 16,1,Fred C. Teitgen,206,93.21,221,1,04/03/12
Columbia County,County Supervisor District 17,County Supervisor District 17,1,Andy Ross,184,97.87,188,1,04/03/12
Columbia County,County Supervisor District 18,County Supervisor District 18,1,Harlan Baumgartner,265,95.67,277,1,04/03/12
Columbia County,County Supervisor District 19,County Supervisor District 19,1,John H. Tramburg,466,97.08,480,1,04/03/12
Columbia County,County Supervisor District 20,County Supervisor District 20,1,Tim Zander,318,98.45,323,1,04/03/12
Columbia County,County Supervisor District 22,County Supervisor District 22,1,Teresa Ann Sumnicht,234,96.69,242,1,04/03/12
Columbia County,County Supervisor District 24,County Supervisor District 24,1,John Stevenson,247,98.02,252,1,04/03/12
Columbia County,County Supervisor District 25,County Supervisor District 25,1,James Bechen,342,96.34,355,1,04/03/12
Columbia County,County Supervisor District 26,County Supervisor District 26,1,Philip Baebler,343,98.56,348,1,04/03/12
Columbia County,County Supervisor District 27,County Supervisor District 27,1,Robert Westby,321,100.0,321,1,04/03/12
Columbia County,County Supervisor District 28,County Supervisor District 28,1,Kevin Kessler,224,57.58,389,1,04/03/12
Columbia County,County Supervisor District 28,County Supervisor District 28,1,Douglas Richmond,165,42.42,389,0,04/03/12
Town of Fountain Prairie,Town Board Supervisor 1,Town Board Supervisor I Town of Fountain Prairie,1,Steven Jacob,239,97.55,245,1,04/03/12
Town of Pacific,Town Board Supervisor 1,Town Board Supervisor I Town of Pacific,1,Charlie Kirk,293,57.56,509,1,04/03/12
Town of Pacific,Town Board Supervisor 1,Town Board Supervisor I Town of Pacific,1,Victor Herbert,216,42.44,509,0,04/03/12
Town of Dekorra,Town Board Supervisor 3,Town Board Supervisor Iii Town of Dekorra,1,Sandy Smith,230,58.23,395,1,04/03/12
Town of Dekorra,Town Board Supervisor 3,Town Board Supervisor Iii Town of Dekorra,1,Robert W. Morse,160,40.51,395,0,04/03/12
Town of Fountain Prairie,Town Board Supervisor 3,Town Board Supervisor Iii Town of Fountain Prairie,1,David Liebenthal,232,97.07,239,1,04/03/12
Town of Lodi,Town Board Supervisor 3,Town Board Supervisor Iii Town of Lodi,1,Robert Benson,435,61.79,700,1,04/03/12
Town of Lodi,Town Board Supervisor 3,Town Board Supervisor Iii Town of Lodi,1,Karl Hugo,265,37.64,700,0,04/03/12
Town of Pacific,Town Board Supervisor 3,Town Board Supervisor Iii Town of Pacific,1,Irma J. Brockley,330,65.48,504,1,04/03/12
Town of Pacific,Town Board Supervisor 3,Town Board Supervisor Iii Town of Pacific,1,Trina M. Sherbo,174,34.52,504,0,04/03/12
Town of West Point,Town Board Supervisor 3,Town Board Supervisor Iii Town of West Point,1,Bill Niemi,316,99.06,316,1,04/03/12
Town of Dekorra,Town Board Supervisor 4,Town Board Supervisor Iv Town of Dekorra,1,Gary Leatherberry,305,93.56,326,1,04/03/12
Town of Lodi,Town Board Supervisor 4,Town Board Supervisor Iv Town of Lodi,1,Ray Chrisler,491,94.24,521,1,04/03/12
Town of West Point,Town Board Supervisor 4,Town Board Supervisor Iv Town of West Point,1,Matthew Zeman,319,99.07,319,1,04/03/12
Village of Friesland,Village President,Village President Village of Friesland,1,Steven Williams,63,91.3,69,1,04/03/12
Village of Cambria,Village Trustee,Village Trustee Village of Cambria,3,Cody W. Doucette,88,29.24,301,1,04/03/12
Village of Cambria,Village Trustee,Village Trustee Village of Cambria,3,Shannon L. Dunahee,80,26.58,301,1,04/03/12
Village of Cambria,Village Trustee,Village Trustee Village of Cambria,3,Marty Stringfield,79,26.25,301,1,04/03/12
Village of Cambria,Village Trustee,Village Trustee Village of Cambria,3,Chester Stringfield,47,15.61,301,0,04/03/12
Village of Doylestown,Village Trustee,Village Trustee Village of Doylestown,3,Linda Wall,46,39.66,116,1,04/03/12
Village of Doylestown,Village Trustee,Village Trustee Village of Doylestown,3,Pat Bixby,30,25.86,116,1,04/03/12
Village of Doylestown,Village Trustee,Village Trustee Village of Doylestown,3,Roger L. Roundy,30,25.86,116,1,04/03/12
Village of Fall River,Village Trustee,Village Trustee Village of Fall River,3,Judith A. Robbins,333,35.84,922,1,04/03/12
Village of Fall River,Village Trustee,Village Trustee Village of Fall River,3,Jeff Slotten,314,33.8,922,1,04/03/12
Village of Fall River,Village Trustee,Village Trustee Village of Fall River,3,John Ninmann,275,29.6,922,1,04/03/12
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Lloyd Miller,309,38.39,805,1,04/03/12
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Phil Possehl,258,32.05,805,1,04/03/12
Village of Pardeeville,Village Trustee,Village Trustee Village of Pardeeville,3,Robert Abrath,229,28.45,805,1,04/03/12
Village of Poynette,Village Trustee,Village Trustee Village of Poynette,3,Diana Kaschinske,207,34.27,604,1,04/03/12
Village of Poynette,Village Trustee,Village Trustee Village of Poynette,3,David Hutchinson,190,31.46,604,1,04/03/12
Village of Poynette,Village Trustee,Village Trustee Village of Poynette,3,Andy Ross,187,30.96,604,1,04/03/12
Village of Randolph,Village Trustee,Village Trustee Village of Randolph,3,Shannon Greeno,68,26.88,253,1,04/03/12
Village of Randolph,Village Trustee,Village Trustee Village of Randolph,3,James Boomsma,65,25.69,253,1,04/03/12
Village of Randolph,Village Trustee,Village Trustee Village of Randolph,3,Ronald L. Lueptow,59,23.32,253,1,04/03/12
Village of Randolph,Village Trustee,Village Trustee Village of Randolph,3,David A. Dobbratz,55,21.74,253,0,04/03/12
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Stan Stofflet,124,27.74,447,1,04/03/12
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Nancy M. Wescott,116,25.95,447,1,04/03/12
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Russell Sunde,100,22.37,447,1,04/03/12
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Charles James,88,19.69,447,0,04/03/12
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Kim Bauer,109,36.45,299,1,04/03/12
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Todd J. Hepler,101,33.78,299,1,04/03/12
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Gilbert Kuzera,79,26.42,299,1,04/03/12
Village of Arlington,Village Trustee,Village Trustee Village of Arlington,2,Bryan Bjorge,89,42.38,208,1,04/03/12
Village of Arlington,Village Trustee,Village Trustee Village of Arlington,2,Jason Humboldt,66,31.43,208,1,04/03/12
Village of Arlington,Village Trustee,Village Trustee Village of Arlington,2,Maryann C. Frank,53,25.24,208,0,04/03/12
Village of Friesland,Village Trustee,Village Trustee Village of Friesland,1,Russell M. Syens,71,100.0,71,1,04/03/12
City of Lodi,Mayor,Mayor City of Lodi,1,Paul Fisk,323,50.55,639,1,04/03/12
City of Lodi,Mayor,Mayor City of Lodi,1,Mikel Bilkey,316,49.45,639,0,04/03/12
City of Columbus,Alderperson District 1,Alderperson District 1,1,Steve Davidson,187,96.89,193,1,04/03/12
City of Columbus,Alderperson District 2,Alderperson District 2,1,Jenny Perkins,207,98.57,210,1,04/03/12
City of Columbus,Alderperson District 3,Alderperson District 3,1,Paula Schumann,147,96.71,152,1,04/03/12
City of Lodi,Alderperson District 1,Alderperson District 1,1,Ken Detmer,164,100.0,164,1,04/03/12
City of Portage,Alderperson District 2,Alderperson District 2,1,Jeff Garetson,144,97.96,147,1,04/03/12
City of Portage,Alderperson District 5,Alderperson District 5,1,Richard L. Beebe,48,42.48,113,0,04/03/12
City of Portage,Alderperson District 9,Alderperson District 9,1,Rita A. Maass,76,58.02,131,1,04/03/12
City of Portage,Alderperson District 9,Alderperson District 9,1,Daniel Brunt,55,41.98,131,0,04/03/12
City of Wisconsin Dells,Alderperson District 1,Alderperson District 1,1,Jesse DeFosse,77,71.3,108,1,04/03/12
City of Wisconsin Dells,Alderperson District 1,Alderperson District 1,1,Troy Ryan,31,28.7,108,0,04/03/12
City of Wisconsin Dells,Alderperson District 2,Alderperson District 2,1,Michael Freel,65,98.48,66,1,04/03/12
City of Wisconsin Dells,Alderperson District 3,Alderperson District 3,1,David Murray,87,96.67,90,1,04/03/12
Poynette School District,School Board Member,School Board Member Poynette School District,4,Gregg Schernecker,664,31.77,2090,1,04/03/12
Poynette School District,School Board Member,School Board Member Poynette School District,4,Jeffrey Noble,659,31.53,2090,1,04/03/12
Poynette School District,School Board Member,School Board Member Poynette School District,4,Kathleen Lucey,619,29.62,2090,1,04/03/12
Columbus School District,School Board Member,School Board Member Columbus School District,3,Sally Owen,646,34.88,1852,1,04/03/12
Columbus School District,School Board Member,School Board Member Columbus School District,3,Donald Nelson,593,32.02,1852,1,04/03/12
Columbus School District,School Board Member,School Board Member Columbus School District,3,Peter K. Fogarty,588,31.75,1852,1,04/03/12
Lodi School District,School Board Member,School Board Member Lodi School District,3,Bill Beers,945,26.76,3532,1,04/03/12
Lodi School District,School Board Member,School Board Member Lodi School District,3,William M. Wipperfurth,903,25.57,3532,1,04/03/12
Lodi School District,School Board Member,School Board Member Lodi School District,3,Clifford A. Arthur,823,23.3,3532,1,04/03/12
Lodi School District,School Board Member,School Board Member Lodi School District,3,Bud Styer,820,23.22,3532,0,04/03/12
Baraboo School District,School Board Member,School Board Member Baraboo School District,2,Mo Reilly,2,100.0,2,1,04/03/12
Fall River School District,School Board Member,School Board Member Fall River School District,2,Douglas M. Lee,439,35.95,1221,1,04/03/12
Fall River School District,School Board Member,School Board Member Fall River School District,2,Wendy Corlett,380,31.12,1221,1,04/03/12
Fall River School District,School Board Member,School Board Member Fall River School District,2,David Brozek,378,30.96,1221,0,04/03/12
Randolph School District,School Board Member,School Board Member Randolph School District,2,Laurie Boomsma,156,49.68,311,1,04/03/12
Randolph School District,School Board Member,School Board Member Randolph School District,2,Jim Holwerda,155,49.36,311,1,04/03/12
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,2,Mike Krachey,1,50.0,2,1,04/03/12
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,2,John E. Whalen,1,50.0,2,1,04/03/12
Rio Community School District,School Board Member,School Board Member Rio Community School District,1,Susan Amend,385,95.77,402,1,04/03/12
Cambria-Friesland School District,School Board Member,School Board Member Cambria-friesland School District,1,Daniel DeYoung,330,97.92,337,1,04/03/12
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,1,Chris McFarlin,44,60.27,73,1,04/03/12
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,1,Legertha Champagne,29,39.73,73,0,04/03/12
Cambria-Friesland School District,School Board Member,School Board Member Cambria-friesland School District,1,John Heil,312,99.36,312,1,04/03/12
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,1,Dan Choi,56,98.25,57,1,04/03/12
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,1,Mike Hirsch,53,68.83,77,1,04/03/12
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,1,Jeffrey Horn,24,31.17,77,0,04/03/12
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,1,DeAnna Giovanni,57,95.0,60,1,04/03/12
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,William S. Kuehn,1,50.0,2,1,04/03/12
